2018-12-04 17:47:59.253 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.healthcheck Logback ]
2018-12-04 17:47:59.281 [main] INFO  cloud.provider.SOFABootSpringApplication - Starting SOFABootSpringApplication on DESKTOP-SL1Q8O9 with PID 9172 (F:\IdeaProjects\CSII\xingye-sofa-rpc\xingye-sofa-rpc-provider\bank-sofa-provider-service\target\classes started by LYF in F:\IdeaProjects\CSII\xingye-sofa-rpc)
2018-12-04 17:47:59.281 [main] INFO  cloud.provider.SOFABootSpringApplication - No active profile set, falling back to default profiles: default
2018-12-04 17:47:59.312 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@6a6cb05c: startup date [Tue Dec 04 17:47:59 CST 2018]; root of context hierarchy
2018-12-04 17:47:59.594 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [F:\IdeaProjects\CSII\xingye-sofa-rpc\xingye-sofa-rpc-provider\bank-sofa-provider-service\target\classes\META-INF\xingye-sofa-rpc-provider\bank-sofa-provider-service.xml]
2018-12-04 17:47:59.973 [main] WARN  o.s.context.annotation.ConfigurationClassEnhancer - @Bean method SofaTracerDataSourceAutoConfiguration.DataSourceBeanFactoryPostProcessor is non-static and returns an object assignable to Spring's BeanFactoryPostProcessor interface. This will result in a failure to process annotations such as @Autowired, @Resource and @PostConstruct within the method's declaring @Configuration class. Add the 'static' modifier to this method to avoid these container lifecycle issues; see @Bean javadoc for complete details.
2018-12-04 17:47:59.989 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-04 17:48:00.228 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.rpc.boot Logback ]
2018-12-04 17:48:00.850 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Logger Space:{com.alipay.lookout} init ok.
2018-12-04 17:48:00.850 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.lookout Logback ]
